,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,MeanCornersHome,MeanCornersAway,MeanCardsHome,MeanCardsAway,MeanShotsHome,MeanShotsAway,MeanGoalsHome,MeanGoalsAway,MeanGoalsConHome,MeanGoalsConAway
61,E0,29/09/2018,Chelsea,Liverpool,1,1,D,1,0,H,A Marriner,10,13,4,6,7,9,4,4,0,2,0,0,2.8,3.6,2.54,10,5.6579,6.5526,1.2895,1.0000,15.9737,15.1316,1.6579,2.3421,1.0263,0.5789
62,E0,29/09/2018,Everton,Fulham,3,0,H,0,0,D,R East,19,6,6,0,13,13,12,1,0,3,0,0,1.75,4.2,4.75,10,5.6579,4.2368,1.4474,1.7895,13.1053,11.9474,1.4211,0.8947,1.2105,2.1316
63,E0,29/09/2018,Huddersfield,Tottenham,0,2,A,0,2,A,C Pawson,9,10,5,6,17,16,3,0,2,2,0,0,8.5,4.5,1.44,10,4.2632,5.1053,1.4474,1.4737,10.5263,14.1316,0.5789,1.7632,2.0000,1.0263
64,E0,29/09/2018,Man City,Brighton,2,0,H,1,0,H,L Mason,28,4,8,1,4,10,10,3,0,3,0,0,1.1,12.0,34.0,10,7.8421,4.1053,1.1579,1.5789,17.9737,9.7632,2.5000,0.9211,0.6053,1.5789
65,E0,29/09/2018,Newcastle,Leicester,0,2,A,0,1,A,S Hooper,6,12,1,5,11,5,5,9,0,0,0,0,2.6,3.3,3.0,10,4.7632,5.5263,1.5000,1.5000,11.7368,13.5526,1.1053,1.3421,1.2632,1.2632
66,E0,29/09/2018,West Ham,Man United,3,1,H,2,0,H,M Oliver,8,9,3,4,12,12,4,9,0,1,0,0,4.5,3.8,1.85,10,4.9474,5.2632,1.5526,1.9211,11.6053,13.8421,1.3684,1.7105,1.4474,1.4211
67,E0,29/09/2018,Wolves,Southampton,2,0,H,0,0,D,S Attwell,14,17,6,6,11,7,8,6,3,1,0,0,1.8,3.6,5.25,10,5.1316,5.0789,1.8947,1.8684,12.5526,12.7105,1.2368,1.1842,1.2105,1.7105
68,E0,30/09/2018,Cardiff,Burnley,1,2,A,0,0,D,M Atkinson,19,3,5,2,11,15,10,2,1,3,0,0,2.62,3.0,3.2,10,4.4211,3.6842,1.7368,1.9737,10.9737,9.4737,0.8947,1.1842,1.8158,1.7895
69,E0,01/10/2018,Bournemouth,Crystal Palace,2,1,H,1,0,H,M Dean,11,10,5,2,9,12,3,3,3,4,0,0,2.25,3.5,3.4,10,5.0263,5.3947,1.5789,1.5263,11.7368,12.9737,1.4737,1.3421,1.8421,1.3947
70,E0,05/10/2018,Brighton,West Ham,1,0,H,1,0,H,K Friend,9,17,4,4,12,8,2,9,3,2,0,0,2.7,3.3,2.87,10,4.1053,4.9474,1.5789,1.5526,9.7632,11.6053,0.9211,1.3684,1.5789,1.4474
